"profile","location","notes"
1,"Haynisisoos Park, North Beach",NA
2,"Santiago, North Beach",NA
3,"L443, North Beach",NA
4,"B1, North Beach",NA
5,"A1.5, North Beach",NA
6,"Moclips, North Beach",NA
7,"Pacific Beach, North Beach",NA
8,"Roosevelt Beach Rd OBA, North Beach",NA
9,"Griffiths-Priday State Park, North Beach",NA
10,"Ocean City OBA, North Beach",NA
11,"Ocean Shores SR 115 OBA, North Beach",NA
12,"Ocean Shores Pacific Blvd OBA, North Beach",NA
13,"Ocean Shores Butter Clam St OBA, North Beach",NA
14,"Ocean Shores North Jetty North, North Beach",NA
15,"Ocean Shores North Jetty South, North Beach",NA
16,"Westport Light North, Grayland Plains",NA
17,"Westport Light South, Grayland Plains",NA
18,"Westport Ocean Ave OBA, Grayland Plains",NA
19,"Bonge Ave OBA, Grayland Plains",NA
20,"Marine Drive OBA, Grayland Plains",NA
21,"Cranberry Beach Road OBA, Grayland Plains",NA
22,"Midway Beach Rd OBA, Grayland Plains",NA
23,"Warrenton Cannery Rd OBA, Grayland Plains",NA
24,"North Cove, Grayland Plains",NA
25,"Leadbetter Point North, Long Beach",NA
26,"Leadbetter Point South, Long Beach",NA
27,"Leadbetter Point Bearberry Trail, Long Beach",NA
28,"Leadbetter Point Hines, Long Beach",NA
29,"Leadbetter Point 357th Pl, Long Beach",NA
30,"Oysterville Rd OBA, Long Beach",NA
31,"Oysterville Beach 311th St, Long Beach",NA
32,"Oysterville Beach 295th St, Long Beach",NA
33,"Pacific Pines, Long Beach",NA
34,"Klipsan Beach, Long Beach",NA
35,"Loomis Lake State Park, Long Beach",NA
36,"Oceanside 156th Pl, Long Beach",NA
37,"Oceanside 115th Ln, Long Beach",NA
38,"Long Beach 11th St, Long Beach",NA
39,"Holman, Long Beach",NA
40,"Oceanview South, Long Beach",NA
41,"Cape Disappointment CANBY, Long Beach",NA
42,"Clatsop Spit","OREGON"
43,"Peter Iredale Rd OBA","OREGON"
44,"Delaura Beach Rd OBA","OREGON"
45,"Slusher Lake Rd OBA","OREGON"
46,"Del Rey Beach Rd OBA","OREGON"
47,"Seaside Beach","OREGON"
48,"Quinault Beach, North Beach","Located between 10 and 11"
49,"Chautauqua Resort, Long Beach","Located between 37 and 38"
50,"Seaview, Long Beach","Located between 38 and 39"
51,"Beard's Hollow Cape Disappointment, Long Beach","Located between 40 and 52"
52,"A Loop Cape Disappointment, Long Beach",NA
53,"Benson Beach North Cape Disappointment, Long Beach",NA
54,"Benson Beach South Cape Disappointment, Long Beach",NA
