"profile","Park","year","euc_dist_to_BP"
"6","Moclips, North Beach","97",421.991433439821
"6","Moclips, North Beach","98",486.305980528316
"6","Moclips, North Beach","99",519.594104762168
"6","Moclips, North Beach","00",578.650444046002
"6","Moclips, North Beach","01",574.420251641235
"6","Moclips, North Beach","02",522.024808275074
"6","Moclips, North Beach","03",530.959894697902
"6","Moclips, North Beach","04",568.595001233391
"6","Moclips, North Beach","05",576.224922916041
"6","Moclips, North Beach","06",533.18847299677
"6","Moclips, North Beach","07",534.94032819988
"6","Moclips, North Beach","08",535.406920233194
"6","Moclips, North Beach","09",494.680997813364
"6","Moclips, North Beach","10",466.098525312626
"6","Moclips, North Beach","11",568.783790729488
"6","Moclips, North Beach","12",550.860901105362
"6","Moclips, North Beach","13",570.808308867888
"6","Moclips, North Beach","14",585.657719100151
"6","Moclips, North Beach","15",546.101509122243
"6","Moclips, North Beach","16",570.353878047307
"6","Moclips, North Beach","17",520.972338840165
"6","Moclips, North Beach","18",566.15581922259
"6","Moclips, North Beach","19",588.549551325662
"7","Pacific Beach, North Beach","97",437.327040312352
"7","Pacific Beach, North Beach","98",547.291305039962
"7","Pacific Beach, North Beach","99",533.207800176788
"7","Pacific Beach, North Beach","00",545.662025557342
"7","Pacific Beach, North Beach","01",502.979249727422
"7","Pacific Beach, North Beach","02",547.473451193148
"7","Pacific Beach, North Beach","03",540.338980138716
"7","Pacific Beach, North Beach","04",555.58496495165
"7","Pacific Beach, North Beach","05",531.995166301698
"7","Pacific Beach, North Beach","06",532.578203377067
"7","Pacific Beach, North Beach","07",507.176696006784
"7","Pacific Beach, North Beach","08",500.588448296942
"7","Pacific Beach, North Beach","09",489.300246617905
"7","Pacific Beach, North Beach","10",490.007656137491
"7","Pacific Beach, North Beach","11",533.176981304862
"7","Pacific Beach, North Beach","12",549.635814571201
"7","Pacific Beach, North Beach","13",585.226200377538
"7","Pacific Beach, North Beach","14",568.244243298023
"7","Pacific Beach, North Beach","15",583.813907199323
"7","Pacific Beach, North Beach","16",536.436224396123
"7","Pacific Beach, North Beach","17",530.493075560216
"7","Pacific Beach, North Beach","18",533.130066210271
"7","Pacific Beach, North Beach","19",577.154245285771
"8","Roosevelt Beach Rd OBA, North Beach","97",437.052001451049
"8","Roosevelt Beach Rd OBA, North Beach","98",516.085698070942
"8","Roosevelt Beach Rd OBA, North Beach","99",508.934741105748
"8","Roosevelt Beach Rd OBA, North Beach","00",524.821667617075
"8","Roosevelt Beach Rd OBA, North Beach","01",459.017447445452
"8","Roosevelt Beach Rd OBA, North Beach","02",506.031980415609
"8","Roosevelt Beach Rd OBA, North Beach","03",496.533631917678
"8","Roosevelt Beach Rd OBA, North Beach","04",533.045182437996
"8","Roosevelt Beach Rd OBA, North Beach","05",530.136207486678
"8","Roosevelt Beach Rd OBA, North Beach","06",521.265163232083
"8","Roosevelt Beach Rd OBA, North Beach","07",507.437618499434
"8","Roosevelt Beach Rd OBA, North Beach","08",516.918050752129
"8","Roosevelt Beach Rd OBA, North Beach","09",500.233523604076
"8","Roosevelt Beach Rd OBA, North Beach","10",479.290038070217
"8","Roosevelt Beach Rd OBA, North Beach","11",549.683706395186
"8","Roosevelt Beach Rd OBA, North Beach","12",531.662472824029
"8","Roosevelt Beach Rd OBA, North Beach","13",545.2552290775
"8","Roosevelt Beach Rd OBA, North Beach","14",526.998491091176
"8","Roosevelt Beach Rd OBA, North Beach","15",537.860228222315
"8","Roosevelt Beach Rd OBA, North Beach","16",512.640500499484
"8","Roosevelt Beach Rd OBA, North Beach","17",541.096388774097
"8","Roosevelt Beach Rd OBA, North Beach","18",508.124131313784
"8","Roosevelt Beach Rd OBA, North Beach","19",523.974475050436
"9","Griffiths-Priday State Park, North Beach","97",469.061107476459
"9","Griffiths-Priday State Park, North Beach","98",495.821216388572
"9","Griffiths-Priday State Park, North Beach","99",506.119801604367
"9","Griffiths-Priday State Park, North Beach","00",531.313643920459
"9","Griffiths-Priday State Park, North Beach","01",536.126826552281
"9","Griffiths-Priday State Park, North Beach","02",567.112771420338
"9","Griffiths-Priday State Park, North Beach","03",532.033751161546
"9","Griffiths-Priday State Park, North Beach","04",519.748472502839
"9","Griffiths-Priday State Park, North Beach","05",580.059225233105
"9","Griffiths-Priday State Park, North Beach","06",564.352512591227
"9","Griffiths-Priday State Park, North Beach","07",581.064040102346
"9","Griffiths-Priday State Park, North Beach","08",590.40487500702
"9","Griffiths-Priday State Park, North Beach","09",557.960443559421
"9","Griffiths-Priday State Park, North Beach","10",524.953089194653
"9","Griffiths-Priday State Park, North Beach","11",592.542437538488
"9","Griffiths-Priday State Park, North Beach","12",584.524281315167
"9","Griffiths-Priday State Park, North Beach","13",608.174577718482
"9","Griffiths-Priday State Park, North Beach","14",611.105495850781
"9","Griffiths-Priday State Park, North Beach","15",602.386615144302
"9","Griffiths-Priday State Park, North Beach","16",562.007881525732
"9","Griffiths-Priday State Park, North Beach","17",605.415497285983
"9","Griffiths-Priday State Park, North Beach","18",569.057229850409
"9","Griffiths-Priday State Park, North Beach","19",599.562725215658
