"profile","Park","year","min_dist_to_BP","q1_dist_to_BP","med_dist_to_BP","q3_dist_to_BP","max_dist_to_BP"
16,"Westport Light North, Grayland Plains","97",578.08326740649,497.689830316877,417.330752807174,337.030613103052,256.844696248311
16,"Westport Light North, Grayland Plains","98",641.262032993262,545.17042566482,449.146380713837,353.244999716891,257.603316301445
16,"Westport Light North, Grayland Plains","99",659.691945005202,569.74024067631,479.834403721601,390.00615604326,300.325127347388
16,"Westport Light North, Grayland Plains","00",726.08639779634,611.663683978813,497.279058771543,382.966652657173,268.818612753525
16,"Westport Light North, Grayland Plains","01",636.165026074545,550.416323792864,464.691501288501,379.006762494782,293.397228069132
16,"Westport Light North, Grayland Plains","02",622.377722468683,541.735560380217,461.114505284861,380.527973001022,300.003785204333
16,"Westport Light North, Grayland Plains","03",693.565384015052,587.09224016918,480.650218188565,374.265872392118,268.007894370769
16,"Westport Light North, Grayland Plains","04",678.492647180215,577.88756728063,477.312439214889,376.79124845575,276.382852703007
16,"Westport Light North, Grayland Plains","05",646.415619140534,556.394589272203,466.398790152628,376.446317716347,286.577973631032
16,"Westport Light North, Grayland Plains","06",662.103554187288,571.050749918898,480.021641317893,389.032862261327,298.121341638105
16,"Westport Light North, Grayland Plains","07",608.738944455151,526.286060561438,443.858337785929,361.47298922441,279.167532660095
16,"Westport Light North, Grayland Plains","08",587.0468606862,514.538795793399,442.052584155421,369.601083585329,297.20967996253
16,"Westport Light North, Grayland Plains","09",566.884610092766,500.380111198104,433.896028676245,367.443444920756,301.043219862654
16,"Westport Light North, Grayland Plains","10",609.359476539885,532.260820834937,455.18278919684,378.137993600696,301.151943818949
16,"Westport Light North, Grayland Plains","11",672.587437142683,579.580443850995,486.597172189866,393.654432044346,300.789797947693
16,"Westport Light North, Grayland Plains","12",616.894563511692,538.038067588924,459.202501149186,380.400876905953,301.659795866558
16,"Westport Light North, Grayland Plains","13",607.0922886803,530.68814065024,454.305810171774,377.958524923208,301.672893786779
16,"Westport Light North, Grayland Plains","14",655.992765964915,567.412390163792,478.85657119911,390.34202285408,301.905047303248
16,"Westport Light North, Grayland Plains","15",658.934950125637,570.378644532247,481.845832630956,393.352378095274,304.932548158782
16,"Westport Light North, Grayland Plains","16",639.751775201858,551.781663956704,463.835584692027,375.930404087282,288.103561155955
16,"Westport Light North, Grayland Plains","17",679.657821865004,584.782244213135,489.930853559695,395.12106902905,300.392288365982
16,"Westport Light North, Grayland Plains","18",677.862709151923,583.709664509378,489.582336677045,395.499087599882,301.50118434298
16,"Westport Light North, Grayland Plains","19",652.899698944818,564.808661241439,476.740059559034,388.709143971751,300.749009092381
16,"Westport Light North, Grayland Plains","20",551.860349654669,488.990966689472,426.140310847861,363.318101114939,300.542176255954
16,"Westport Light North, Grayland Plains","21",616.585633592067,537.536347479497,458.508711055654,379.516249071222,300.586693729308
17,"Westport Light South, Grayland Plains","97",624.643377861039,519.439282283736,414.341293905726,309.457540017604,205.116922008496
17,"Westport Light South, Grayland Plains","98",612.59404744006,510.171050330129,407.805940082187,305.556900548987,203.598881910754
17,"Westport Light South, Grayland Plains","99",706.873177065493,603.665184007194,500.464078690238,397.27522888436,294.111534387866
17,"Westport Light South, Grayland Plains","00",651.951402799229,562.202379505496,472.47495863672,382.784331789164,293.164271177752
17,"Westport Light South, Grayland Plains","01",658.228439132563,580.271016572114,502.32605034313,424.400403654425,346.507111008877
17,"Westport Light South, Grayland Plains","02",636.596689026089,568.314054010456,500.045469212087,431.797598835641,363.582107958941
17,"Westport Light South, Grayland Plains","03",716.664338354067,616.690738538891,516.733624840968,416.804858409002,316.93125414807
17,"Westport Light South, Grayland Plains","04",681.007177713593,572.833599461358,464.6872951435,356.593080254342,248.618906208517
17,"Westport Light South, Grayland Plains","05",718.364594916291,612.308605877242,506.27252283891,400.272166007435,294.346135233946
17,"Westport Light South, Grayland Plains","06",626.115910220863,539.943160243175,453.789605264001,367.668739068935,281.610553463557
17,"Westport Light South, Grayland Plains","07",653.105526395732,563.373070964784,473.659154485205,383.976771728096,294.354746667299
17,"Westport Light South, Grayland Plains","08",637.197694375245,551.49286087754,465.803640887255,380.140593086171,294.526554903215
17,"Westport Light South, Grayland Plains","09",590.92832596111,516.827420259391,442.742912930986,368.684689510084,294.672567976024
17,"Westport Light South, Grayland Plains","10",559.056828751724,493.139585854416,427.237518836769,361.358930800546,295.519524294521
17,"Westport Light South, Grayland Plains","11",644.881352180506,562.856540548565,480.845590770488,398.857053548627,316.908324669104
17,"Westport Light South, Grayland Plains","12",628.007383895611,545.991968508835,463.991410901541,382.015278974814,300.083591046833
17,"Westport Light South, Grayland Plains","13",635.766330928153,567.197787238863,498.639247605886,430.095496087524,361.574942928903
17,"Westport Light South, Grayland Plains","14",642.153570157754,581.062704254301,519.979109479325,458.905689357966,397.847129643955
17,"Westport Light South, Grayland Plains","15",612.332719212789,553.339819550651,494.35411006808,435.378513182615,376.417782125197
17,"Westport Light South, Grayland Plains","16",578.664302655788,523.119503089397,467.582470194676,412.056344364048,356.546221413737
17,"Westport Light South, Grayland Plains","17",557.091913040649,491.126477341883,425.175454435271,359.246782169674,293.355530170007
17,"Westport Light South, Grayland Plains","18",589.347247965233,533.540190678293,477.741154841114,421.953322731141,366.181815050742
17,"Westport Light South, Grayland Plains","19",670.350766781981,584.06685921104,497.796805447892,411.549317799945,325.342343433992
17,"Westport Light South, Grayland Plains","20",639.235113229145,570.794670218786,502.363645565161,433.946494963578,365.551008570774
17,"Westport Light South, Grayland Plains","21",592.886571228252,518.258513961508,443.646268510635,369.059424960602,294.517283126315
17,"Westport Light South, Grayland Plains","22",669.388313214885,594.511587506545,519.645037627503,444.793801915781,369.967175510156
